,model,dataset,mode,path,value
67,xception,cityscapes,RGBD,../models/temp/models/cityscapes_rgbd_xception/2020_04_18/best_pred.txt,0.7808690034648349
7,xception,cityscapes,RGBD,../models/chameleon_run/run/cityscapes/cityscapes_rgbd_xception/2020_04_26-20_05_00/best_pred.txt,0.7799759861560165
12,xception,cityscapes,RGBD,../models/chameleon_run/run/cityscapes/cityscapes_rgbd_xception_fine_coarse/2020_04_28-01_42_47/best_pred.txt,0.7793544082980808
6,xception,cityscapes,RGBD,../models/chameleon_run/run/cityscapes/cityscapes_rgbd_xception/2020_04_24-01_40_58/best_pred.txt,0.7779515966610556
66,xception,cityscapes,RGBD,../models/temp/models/cityscapes_rgbd_xception/2020_04_17/best_pred.txt,0.7740594482367642
68,xception,cityscapes,RGBD,../models/temp/models/cityscapes_rgbd_xception_fine/2020_04_18/best_pred.txt,0.7740594482367642
10,xception,cityscapes,RGBD,../models/chameleon_run/run/cityscapes/cityscapes_rgbd_xception_fine_coarse/2020_04_24-22_21_10/best_pred.txt,0.7734384320545471
38,resnet,cityscapes,RGB_HHAmid,../models/temp/models/cityscapes_hha_midfusion/2020_04_16/best_pred.txt,0.7723354194038323
64,resnet,cityscapes,RGBD,../models/temp/models/cityscapes_rgbd_resnet_deeplab/2020_04_10/best_pred.txt,0.7697157282929562
39,resnet,cityscapes,RGB_HHAmid,../models/temp/models/cityscapes_hha_midfusion_pretrained/2020_04_06/best_pred.txt,0.7670958191081455
17,xception,cityscapes,RGBD,../models/chameleon_run/run/cityscapes/cityscapes_synth_rgbd_xception_fine_coarse/2020_04_25-14_32_21/best_pred.txt,0.7641288513395975
57,xception,cityscapes,RGB,../models/temp/models/cityscapes_rgb_xception_pt_fine/2020_04_23/2020_04_18/best_pred.txt,0.7639707051861098
56,xception,cityscapes,RGB,../models/temp/models/cityscapes_rgb_xception_pt_fine/2020_04_18/best_pred.txt,0.7639707051861098
